id,nombre,plataforma,marca,puntuacion usuarios,numero usuarios,popularidad
16620,Pulse Racer,Xbox,MICROSOFT,2.2,17,desconocido
16617,Postal III,PC,PC,3.0,300,popular
16606,Game Party,Wii,NINTENDO,3.9,31,desconocido
16612,NBA Unrivaled,Xbox360,MICROSOFT,4.3,19,desconocido
16608,Dragon Ball Z: Ultimate Battle 22,PlayStation,SONY,5.2,58,desconocido
16611,Stalin vs. Martians,PC,PC,4.4,66,desconocido
16609,Call for Heroes: Pompolic Wars,PC,PC,3.2,20,desconocido
16610,Batman: Dark Tomorrow,Xbox,MICROSOFT,3.3,19,desconocido
16607,AMY,Xbox360,MICROSOFT,3.8,89,desconocido
16613,Cruis'n,Wii,NINTENDO,3.7,20,desconocido
16605,Leisure Suit Larry: Box Office Bust,Xbox360,MICROSOFT,2.4,42,desconocido
16593,Stake: Fortune Fighters,Xbox,MICROSOFT,3.7,6,desconocido
16602,Survivor (2001),PC,PC,2.6,15,desconocido
16595,Charlie and the Chocolate Factory,PC,PC,2.6,19,desconocido
16601,Aquaman: Battle for Atlantis,Xbox,MICROSOFT,2.7,16,desconocido
16598,KISS Pinball,PlayStation,SONY,4.3,7,desconocido
16592,Mucha Lucha! Mascaritas of the Lost Code,GameBoyAdvance,NINTENDO,3.9,8,desconocido
16590,Druuna: Morbus Gravis,PC,PC,4.4,7,desconocido
16597,R.I.P.D. The Game,PC,PC,1.5,69,desconocido
16603,Jenga World Tour,Wii,NINTENDO,2.8,11,desconocido
16596,R.I.P.D. The Game,PC,PC,1.5,69,desconocido
16594,HBO Boxing,PlayStation,SONY,4.0,5,desconocido
16591,Road Rage,PlayStation4,SONY,2.0,26,desconocido
16604,World War II Combat: Iwo Jima,PC,PC,2.9,13,desconocido
16600,Tenkai Knights: Brave Battle,3DS,NINTENDO,2.9,27,desconocido
16599,Deca Sports Freedom,Xbox360,MICROSOFT,3.7,9,desconocido
16586,Aquaman: Battle for Atlantis,GameCube,NINTENDO,2.8,24,desconocido
16587,GoDai: Elemental Force,PlayStation2,SONY,3.5,21,desconocido
16585,Looney Tunes: Acme Arsenal,Wii,NINTENDO,5.8,18,desconocido
16589,Fray,PC,PC,2.4,29,desconocido
16584,Basement Crawl,PlayStation4,SONY,2.8,66,desconocido
16588,Rogue Warrior,PlayStation3,SONY,2.8,78,desconocido
16583,Chicken Shoot,Wii,NINTENDO,5.2,31,desconocido
16582,Raven's Cry,PC,PC,3.3,128,poco conocido
16574,The Quiet Man,PlayStation4,SONY,1.9,143,poco conocido
16576,Rogue Warrior,Xbox360,MICROSOFT,3.0,72,desconocido
16580,Mortal Kombat: Special Forces,PlayStation,SONY,3.0,34,desconocido
16575,Rambo: The Video Game,Xbox360,MICROSOFT,2.3,146,poco conocido
16572,Ping Pals,DS,NINTENDO,3.9,27,desconocido
16581,Dragon Ball: Evolution,PSP,SONY,1.5,69,desconocido
16579,American McGee Presents Bad Day LA,PC,PC,7.1,91,desconocido
16573,Godzilla Unleashed: Double Smash,DS,NINTENDO,5.6,11,desconocido
16578,Thundercats,DS,NINTENDO,1.7,27,desconocido
16577,Sneakers,Xbox,MICROSOFT,3.4,11,desconocido
16568,Jumper: Griffin's Story,Xbox360,MICROSOFT,3.3,30,desconocido
16566,Game Party 2,Wii,NINTENDO,5.8,9,desconocido
16569,Batman: Dark Tomorrow,GameCube,NINTENDO,3.0,21,desconocido
16570,Duke Nukem: Critical Mass,DS,NINTENDO,3.7,26,desconocido
16571,Wild West Online,PC,PC,1.5,49,desconocido
16567,Rogue Warrior,PC,PC,3.4,147,poco conocido
16564,ARK: Survival Evolved,Switch,NINTENDO,2.4,51,desconocido
16563,Hoodwink,PC,PC,2.4,7,desconocido
16565,Tiny Racer,Switch,NINTENDO,8.1,7,desconocido
16552,Crime Life: Gang Wars,Xbox,MICROSOFT,5.1,13,desconocido
16554,MTV's Celebrity Deathmatch,PC,PC,5.0,18,desconocido
16560,Transformers: Dark of the Moon - Stealth Force Edition,3DS,NINTENDO,3.7,17,desconocido
16553,Ghostbusters,PlayStation4,SONY,1.4,264,conocido
16556,ShellShock 2: Blood Trails,Xbox360,MICROSOFT,5.7,38,desconocido
16558,Fear Factor: Unleashed,GameBoyAdvance,NINTENDO,3.0,4,desconocido
16555,Vampire Rain: Altered Species,PlayStation3,SONY,3.7,38,desconocido
16557,Soda Drinker Pro,XboxOne,MICROSOFT,5.9,27,desconocido
16551,Robocop,Xbox,MICROSOFT,4.2,18,desconocido
16561,Power Rangers Megaforce,3DS,NINTENDO,4.1,7,desconocido
16559,Air Conflicts: Vietnam Ultimate Edition,PlayStation4,SONY,1.7,28,desconocido
16562,Tunnel Rats: 1968,PC,PC,3.4,23,desconocido
16547,Dino Dini's Kick Off Revival,PlayStation4,SONY,4.5,71,desconocido
16545,DreamWorks Kung Fu Panda 2,PlayStation3,SONY,3.6,14,desconocido
16549,Big Oil: Build an Oil Empire,PC,PC,4.3,7,desconocido
16550,ESPN Sports Connection,WiiU,NINTENDO,3.3,23,desconocido
16546,Forever Worlds - Enter the Unknown,PC,PC,4.5,6,desconocido
16548,CID The Dummy,Wii,NINTENDO,4.0,6,desconocido
16544,The Asskickers,PC,PC,3.4,7,desconocido
16543,Toy Shop,DS,NINTENDO,5.0,12,desconocido
16537,Kabuki Warriors,Xbox,MICROSOFT,1.8,11,desconocido
16518,Iron Man,PC,PC,2.6,66,desconocido
16541,The Simpsons Wrestling,PlayStation,SONY,5.5,29,desconocido
16534,Fighters Uncaged,Xbox360,MICROSOFT,4.6,26,desconocido
16526,Escape Dead Island,Xbox360,MICROSOFT,3.7,79,desconocido
16524,Weeping Doll,PlayStation4,SONY,2.7,17,desconocido
16535,Dave Mirra BMX Challenge,PSP,SONY,4.6,10,desconocido
16530,Best of Tests DS,DS,NINTENDO,5.0,4,desconocido
16529,Giana Sisters: Dream Runners,XboxOne,MICROSOFT,4.9,17,desconocido
16540,Ghostbusters,XboxOne,MICROSOFT,3.8,108,poco conocido
16538,Pool Party,Wii,NINTENDO,1.6,9,desconocido
16521,Zombeer,PC,PC,5.7,23,desconocido
16519,Bruce Lee: Quest of the Dragon,Xbox,MICROSOFT,2.5,11,desconocido
16522,Women's Volleyball Championship,PlayStation2,SONY,4.0,4,desconocido
16528,Gene Rain,XboxOne,MICROSOFT,3.6,9,desconocido
16533,The Expendables 2 Videogame,Xbox360,MICROSOFT,4.4,21,desconocido
16531,The Walking Dead: Survival Instinct,Xbox360,MICROSOFT,4.0,414,popular
16539,Magus,PlayStation3,SONY,4.0,21,desconocido
16527,Sonic Boom: Rise of Lyric,WiiU,NINTENDO,3.5,647,popular
16542,Tony Hawk's Pro Skater 5,PlayStation4,SONY,1.5,444,popular
16523,MTV's Celebrity Deathmatch,PlayStation2,SONY,3.6,23,desconocido
16532,New World Order,PC,PC,3.0,6,desconocido
16525,Land of the Dead: Road to Fiddler's Green,Xbox,MICROSOFT,6.5,12,desconocido
16520,Rekoil,PC,PC,2.1,45,desconocido
16536,Coliseum,PC,PC,3.2,23,desconocido
16508,Van Helsing,GameBoyAdvance,NINTENDO,6.3,6,desconocido
16505,Farming Simulator,Xbox360,MICROSOFT,6.2,30,desconocido
16506,X Rebirth,PC,PC,3.2,1307,popular
16504,Mike Tyson Heavyweight Boxing,PlayStation2,SONY,3.5,12,desconocido
16510,Demonworld: Dark Armies,PC,PC,7.8,4,desconocido
16517,Target: Terror,Wii,NINTENDO,3.0,17,desconocido
16501,Kick-Ass,PlayStation3,SONY,2.6,19,desconocido
16497,Chicago Enforcer,Xbox,MICROSOFT,2.6,5,desconocido
16511,Dragon Booster,DS,NINTENDO,7.0,10,desconocido
16513,Mistmare,PC,PC,6.8,12,desconocido
16498,Shrek: Super Party,Xbox,MICROSOFT,7.2,13,desconocido
16507,Dawn of Fear,PlayStation4,SONY,4.6,30,desconocido
16503,The Incredible Hulk,PC,PC,4.4,37,desconocido
16499,AMY,PlayStation3,SONY,3.0,80,desconocido
16514,Mortal Kombat Advance,GameBoyAdvance,NINTENDO,3.7,11,desconocido
16502,Superman Returns,DS,NINTENDO,4.6,14,desconocido
16500,AMY,PlayStation3,SONY,3.0,80,desconocido
16509,Yu Yu Hakusho: Spirit Detective,GameBoyAdvance,NINTENDO,8.0,16,desconocido
16516,Megamind: Ultimate Showdown,Xbox360,MICROSOFT,5.0,7,desconocido
16515,Mobile Suit Gundam: Crossfire,PlayStation3,SONY,4.8,49,desconocido
16512,Call of Duty: Black Ops Declassified,PlayStationVita,SONY,5.0,505,popular
16490,Astro Boy: The Video Game,DS,NINTENDO,5.7,6,desconocido
16484,The Walking Dead: Survival Instinct,PlayStation3,SONY,3.7,202,conocido
16488,Transformers: Dark of the Moon - Stealth Force Edition,Wii,NINTENDO,2.5,6,desconocido
16486,March of the Penguins,DS,NINTENDO,8.1,27,desconocido
16479,The Expendables 2 Videogame,PlayStation3,SONY,3.9,51,desconocido
16494,Girl Fight,Xbox360,MICROSOFT,5.5,19,desconocido
16492,Fantasy Hero: Unsigned Legacy,Switch,NINTENDO,3.7,7,desconocido
16478,Jekyll & Hyde (2001),PC,PC,7.2,5,desconocido
16483,Destroy All Humans! Path of the Furon,Xbox360,MICROSOFT,6.4,52,desconocido
16491,Bomberman: Act Zero,Xbox360,MICROSOFT,2.2,46,desconocido
16481,Shadow Harvest: Phantom Ops,PC,PC,2.3,34,desconocido
16485,Past Cure,XboxOne,MICROSOFT,6.3,23,desconocido
16493,The Shield: The Game,PC,PC,3.5,8,desconocido
16495,Fast & Furious Crossroads,PC,PC,2.0,50,desconocido
16489,You Are Empty,PC,PC,5.7,81,desconocido
16487,Agony,XboxOne,MICROSOFT,4.5,71,desconocido
16477,Rambo: The Video Game,PC,PC,1.6,316,popular
16482,Takedown: Red Sabre,PC,PC,3.0,169,poco conocido
16480,David Beckham Soccer,GameBoyAdvance,NINTENDO,4.2,5,desconocido
16496,McFarlane's Evil Prophecy,PlayStation2,SONY,3.0,6,desconocido
16468,Fast & Furious Crossroads,PlayStation4,SONY,1.8,212,conocido
16450,Infernal: Hell's Vengeance,Xbox360,MICROSOFT,4.8,12,desconocido
16451,Tsunami 2265,PC,PC,4.4,5,desconocido
16471,Super Seducer: How to Talk to Girls,PC,PC,6.4,42,desconocido
16463,Street Jam Basketball,GameBoyAdvance,NINTENDO,7.7,6,desconocido
16474,Langrisser Re:Incarnation -TENSEI-,3DS,NINTENDO,4.4,19,desconocido
16469,Girl Fight,PlayStation3,SONY,4.9,14,desconocido
16449,One Piece: Grand Cruise,PlayStation4,SONY,2.8,15,desconocido
16476,Fireburst,Xbox360,MICROSOFT,4.0,7,desconocido
16459,George of the Jungle and the Search for the Secret,Wii,NINTENDO,4.0,6,desconocido
16475,ShellShock 2: Blood Trails,PlayStation3,SONY,4.8,29,desconocido
16458,Jeremy McGrath Supercross World,PlayStation2,SONY,2.9,15,desconocido
16454,Charlie and the Chocolate Factory,PlayStation2,SONY,4.1,29,desconocido
16470,Valhalla Knights: Eldar Saga,Wii,NINTENDO,6.9,20,desconocido
16466,Drug Wars (2009),PC,PC,4.5,29,desconocido
16465,NCIS,Xbox360,MICROSOFT,4.0,7,desconocido
16453,Terminator 3: Rise of the Machines,Xbox,MICROSOFT,2.0,10,desconocido
16456,Dead Space Ignition,Xbox360,MICROSOFT,4.5,33,desconocido
16457,7 Days to Die,XboxOne,MICROSOFT,5.4,103,poco conocido
16455,Fantastic Four: Rise of the Silver Surfer,DS,NINTENDO,4.8,13,desconocido
16473,Star Raiders,Xbox360,MICROSOFT,5.0,6,desconocido
16462,Showtime Championship Boxing,Wii,NINTENDO,4.4,11,desconocido
16461,Enemy Front,Xbox360,MICROSOFT,5.6,85,desconocido
16460,The Golden Compass,Wii,NINTENDO,6.8,6,desconocido
16467,The History Channel: Battle for the Pacific,Xbox360,MICROSOFT,5.9,22,desconocido
16464,Bad Boys: Miami Takedown,Xbox,MICROSOFT,5.9,9,desconocido
16452,Bad Boys: Miami Takedown,GameCube,NINTENDO,2.0,9,desconocido
16472,Fugitive Hunter: War on Terror,PlayStation2,SONY,5.0,22,desconocido
16432,MTV's Celebrity Deathmatch,Xbox,MICROSOFT,1.9,12,desconocido
16433,Disney Sports Skateboarding,GameCube,NINTENDO,4.7,6,desconocido
16445,Arc of Alchemist,Switch,NINTENDO,4.0,5,desconocido
16428,Damnation,Xbox360,MICROSOFT,5.3,55,desconocido
16444,Double D Dodgeball,Xbox360,MICROSOFT,7.0,6,desconocido
16425,Coffin Dodgers,PlayStation4,SONY,4.6,22,desconocido
16423,Kung Fu Rider,PlayStation3,SONY,4.3,23,desconocido
16446,Fight Club,PlayStation2,SONY,4.4,25,desconocido
16427,Fantastic Four: Rise of the Silver Surfer,PlayStation2,SONY,6.3,19,desconocido
16436,Legends of Pegasus,PC,PC,1.5,113,poco conocido
16417,Pimp My Ride,PlayStation2,SONY,4.4,20,desconocido
16435,Hollow,Switch,NINTENDO,4.6,56,desconocido
16438,Damnation,PlayStation3,SONY,3.1,49,desconocido
16437,Power Gig: Rise of the SixString,Xbox360,MICROSOFT,2.1,17,desconocido
16442,Umbrella Corps,PC,PC,2.1,95,desconocido
16439,Alekhine's Gun,PlayStation4,SONY,3.7,76,desconocido
16419,Sniper: Art of Victory,PC,PC,3.2,25,desconocido
16426,X-Men: Destiny,Wii,NINTENDO,4.1,14,desconocido
16429,The Shield: The Game,PlayStation2,SONY,5.4,10,desconocido
16422,The Sum of All Fears,GameCube,NINTENDO,3.6,7,desconocido
16448,Tokyo Tattoo Girls,PlayStationVita,SONY,4.1,12,desconocido
16430,Orion: Dino Horde,PC,PC,5.7,402,popular
16418,The History Channel: Battle for the Pacific,PlayStation3,SONY,1.8,16,desconocido
16416,Dead Space Ignition,PlayStation3,SONY,3.9,27,desconocido
16443,Risen 3: Titan Lords,PlayStation3,SONY,3.8,84,desconocido
16447,Eternity: The Last Unicorn,PlayStation4,SONY,3.9,19,desconocido
16431,Power Gig: Rise of the SixString,PlayStation3,SONY,2.4,5,desconocido
16441,Torrente,PC,PC,8.7,66,desconocido
16440,Jeremy McGrath Supercross World,GameCube,NINTENDO,6.0,6,desconocido
16420,Darkstar: The Interactive Movie,PC,PC,6.3,15,desconocido
16424,NBA Live 14,XboxOne,MICROSOFT,3.1,90,desconocido
16421,Shaq Fu: A Legend Reborn,PlayStation4,SONY,5.2,29,desconocido
16434,Teenage Mutant Ninja Turtles: Arcade Attack,DS,NINTENDO,5.9,7,desconocido
16396,Fight Club,Xbox,MICROSOFT,4.9,12,desconocido
16386,Tenchu: Dark Secret,DS,NINTENDO,5.8,9,desconocido
16390,TMNT,PSP,SONY,4.3,16,desconocido
16393,Legend of the Dragon,Wii,NINTENDO,4.8,5,desconocido
16413,Fluster Cluck,PlayStation4,SONY,4.1,27,desconocido
16404,Wonder World Amusement Park,Wii,NINTENDO,4.5,4,desconocido
16392,Shifters,PlayStation2,SONY,5.9,8,desconocido
16401,Left Alive,PlayStation4,SONY,8.3,1614,popular
16391,Aqua Teen Hunger Force Zombie Ninja Pro-Am,PlayStation2,SONY,6.3,11,desconocido
16400,Blackwater,Xbox360,MICROSOFT,4.8,15,desconocido
16414,Combat Medic: Special Operations,PC,PC,4.8,5,desconocido
16407,Traitors Gate 2,PC,PC,3.8,9,desconocido
16409,Escape from Bug Island,Wii,NINTENDO,5.3,26,desconocido
16398,Crash Boom Bang!,DS,NINTENDO,4.4,55,desconocido
16405,Ready 2 Rumble Revolution,Wii,NINTENDO,4.4,5,desconocido
16399,Hour of Victory,Xbox360,MICROSOFT,3.1,46,desconocido
16394,Quantum Theory,Xbox360,MICROSOFT,3.6,41,desconocido
16412,Lucha Fury,Xbox360,MICROSOFT,5.9,7,desconocido
16397,Agony,PlayStation4,SONY,4.6,150,poco conocido
16388,Torino 2006 - The Official Video Game of the XX Olympic Winter Games,PC,PC,5.5,10,desconocido
16406,Crystal Rift,PlayStation4,SONY,6.6,13,desconocido
16389,Speed Zone,Wii,NINTENDO,3.8,11,desconocido
16411,3D Classics: Urban Champion,3DS,NINTENDO,5.7,22,desconocido
16415,Past Cure,PlayStation4,SONY,4.7,52,desconocido
16408,Frogger 2,Xbox360,MICROSOFT,6.3,9,desconocido
16387,Napoleon Dynamite: The Game,PSP,SONY,4.6,7,desconocido
16410,Tamagotchi Party On!,Wii,NINTENDO,4.0,6,desconocido
16402,Rocky and Bullwinkle,Xbox360,MICROSOFT,4.4,9,desconocido
16403,Underworld Ascendant,PC,PC,2.1,47,desconocido
16395,Duke Nukem: Land of the Babes,PlayStation,SONY,6.9,34,desconocido
16355,Naruto Shippuden: Dragon Blade Chronicles,Wii,NINTENDO,3.3,14,desconocido
16356,Vampire Rain,Xbox360,MICROSOFT,3.1,45,desconocido
16339,Putty Squad,PlayStation4,SONY,3.0,53,desconocido
16379,Godzilla,PlayStation4,SONY,3.3,279,conocido
16344,Battle: Los Angeles,PC,PC,3.1,43,desconocido
16343,Battleship,Xbox360,MICROSOFT,1.9,67,desconocido
16342,Dead or Alive Paradise,PSP,SONY,5.8,41,desconocido
16364,Blades of Time,Switch,NINTENDO,4.9,9,desconocido
16380,Bubble Bobble Revolution,DS,NINTENDO,6.2,6,desconocido
16374,ECW Anarchy Rulz,Dreamcast,SEGA,7.8,4,desconocido
16340,Motocross Mania 3,Xbox,MICROSOFT,3.3,6,desconocido
16367,Heavy Fire: Red Shadow,PlayStation4,SONY,4.3,10,desconocido
16345,Attack of the Movies 3D,Xbox360,MICROSOFT,1.7,10,desconocido
16348,G.I. Combat,PC,PC,3.6,7,desconocido
16382,"Harry Potter and the Deathly Hallows, Part 1",Xbox360,MICROSOFT,4.8,48,desconocido
16369,SoulCalibur: Lost Swords,PlayStation3,SONY,2.0,89,desconocido
16366,Legend of the Dragon,PSP,SONY,5.3,4,desconocido
16353,The Walking Dead: Survival Instinct,PC,PC,2.6,312,popular
16381,Pure Futbol,Xbox360,MICROSOFT,7.9,30,desconocido
16368,Terminator 3: Rise of the Machines,PlayStation2,SONY,5.9,30,desconocido
16351,Godzilla Unleashed,PlayStation2,SONY,6.3,6,desconocido
16384,Touhou Kobuto V: Burst Battle,Switch,NINTENDO,5.3,18,desconocido
16372,Hello Neighbor,PC,PC,4.7,221,conocido
16378,Steel Battalion: Heavy Armor,Xbox360,MICROSOFT,2.5,94,desconocido
16347,Umbrella Corps,PlayStation4,SONY,2.5,174,poco conocido
16358,Project Root,XboxOne,MICROSOFT,5.0,10,desconocido
16373,Looney Tunes: Acme Arsenal,PlayStation2,SONY,5.2,12,desconocido
16350,Pimp My Ride,Xbox360,MICROSOFT,3.8,29,desconocido
16385,Randall,PlayStation4,SONY,2.5,10,desconocido
16383,Far Cry Vengeance,Wii,NINTENDO,5.4,58,desconocido
16357,Thor: God of Thunder,Xbox360,MICROSOFT,5.7,26,desconocido
16377,Star Wars Episode II: Attack of the Clones,GameBoyAdvance,NINTENDO,3.8,9,desconocido
16363,The Simpsons Skateboarding,PlayStation2,SONY,4.0,28,desconocido
16376,The Mummy: Tomb of the Dragon Emperor,PlayStation2,SONY,6.1,7,desconocido
16354,Teenage Mutant Ninja Turtles: Out of the Shadows,Xbox360,MICROSOFT,5.3,172,poco conocido
16375,Left Behind: Eternal Forces,PC,PC,3.5,21,desconocido
16352,DARK,Xbox360,MICROSOFT,4.1,55,desconocido
16371,"Harry Potter and the Deathly Hallows, Part 1",PlayStation3,SONY,2.9,28,desconocido
16370,Dying: Reborn,PlayStation4,SONY,5.2,33,desconocido
16349,Driven,PlayStation2,SONY,3.0,6,desconocido
16341,Burnout Legends,DS,NINTENDO,6.1,64,desconocido
16365,Rock Revolution,Xbox360,MICROSOFT,5.2,18,desconocido
16362,Kengo: Legend of the 9,Xbox360,MICROSOFT,4.1,14,desconocido
16361,Seven Kingdoms: Conquest,PC,PC,4.0,11,desconocido
16359,Carnival Games: Mini-Golf,Wii,NINTENDO,6.3,8,desconocido
16360,Raven Squad: Operation Hidden Dagger,Xbox360,MICROSOFT,3.5,38,desconocido
16346,Painkiller: Resurrection,PC,PC,4.2,83,desconocido
16300,Torino 2006 - the Official Video Game of the XX Olympic Winter Games,PlayStation2,SONY,7.3,14,desconocido
16310,Senran Kagura Reflexions,Switch,NINTENDO,7.5,42,desconocido
16304,Army Men: Green Rogue,PlayStation2,SONY,3.8,4,desconocido
16338,Star Wars: Flight of the Falcon,GameBoyAdvance,NINTENDO,5.9,13,desconocido
16299,Ultimate Beach Soccer,Xbox,MICROSOFT,6.8,5,desconocido
16319,Ju-on: The Grudge,Wii,NINTENDO,5.4,36,desconocido
16331,Universal Studios Theme Parks Adventure,GameCube,NINTENDO,3.2,13,desconocido
16316,25 to Life,PlayStation2,SONY,5.0,52,desconocido
16306,25 to Life,PC,PC,5.1,50,desconocido
16326,The Mummy: Tomb of the Dragon Emperor,Wii,NINTENDO,6.4,5,desconocido
16332,Resident Evil: Survivor,PlayStation,SONY,6.1,87,desconocido
16293,Deep Black: Reloaded,PC,PC,3.8,39,desconocido
16321,R.I.P.D. The Game,Xbox360,MICROSOFT,3.4,28,desconocido
16295,Montague's Mount,PC,PC,5.0,40,desconocido
16297,SuperPower,PC,PC,3.9,11,desconocido
16324,Anacapri: The Dream,PC,PC,4.2,13,desconocido
16330,Remothered: Broken Porcelain,PC,PC,5.2,21,desconocido
16303,Air Raid: This Is Not a Drill!,PC,PC,6.6,17,desconocido
16314,Family Guy: Back to the Multiverse,Xbox360,MICROSOFT,5.0,53,desconocido
16318,Coffeetime Crosswords,Xbox360,MICROSOFT,3.4,7,desconocido
16336,Pacific Rim,Xbox360,MICROSOFT,4.8,38,desconocido
16302,Drive Girls,PlayStationVita,SONY,5.5,12,desconocido
16307,Doctor Who: The Eternity Clock,PlayStation3,SONY,6.4,28,desconocido
16312,Brain Boost: Beta Wave,DS,NINTENDO,2.5,4,desconocido
16311,RollerCoaster Tycoon 3D,3DS,NINTENDO,2.6,26,desconocido
16309,Troll and I,PlayStation4,SONY,4.7,36,desconocido
16305,Turning Point: Fall of Liberty,PC,PC,4.4,40,desconocido
16315,Charlie and the Chocolate Factory,Xbox,MICROSOFT,2.0,12,desconocido
16294,Battle: Los Angeles,Xbox360,MICROSOFT,4.6,25,desconocido
16308,Wacky Races: Crash & Dash,Wii,NINTENDO,6.2,5,desconocido
16313,The Polar Express,PlayStation2,SONY,5.5,11,desconocido
16323,"Monsters, Inc. Scream Arena",GameCube,NINTENDO,6.0,20,desconocido
16337,Alone in the Dark,Wii,NINTENDO,4.5,35,desconocido
16301,Fantastic Four: Rise of the Silver Surfer,Wii,NINTENDO,5.9,15,desconocido
16325,Onechanbara: Bikini Samurai Squad,Xbox360,MICROSOFT,6.3,57,desconocido
16333,Realms of Ancient War,PC,PC,4.6,50,desconocido
16328,The Deer God,Switch,NINTENDO,2.8,15,desconocido
16320,Thor: God of Thunder,PlayStation3,SONY,4.5,22,desconocido
16335,Tony Hawk's Pro Skater 5,XboxOne,MICROSOFT,2.1,133,poco conocido
16334,Inkheart,DS,NINTENDO,2.2,5,desconocido
16322,Raven Squad: Operation Hidden Dagger,PC,PC,3.1,60,desconocido
16298,The Cursed Crusade,Xbox360,MICROSOFT,4.5,31,desconocido
16327,Cartoon Network Racing,PlayStation2,SONY,6.5,11,desconocido
16329,Coffee Tycoon,PC,PC,4.7,7,desconocido
16296,Charlie and the Chocolate Factory,GameCube,NINTENDO,3.2,6,desconocido
16317,Hello Neighbor,Switch,NINTENDO,4.3,34,desconocido
16268,Made Man: Confessions of the Family Blood,PC,PC,5.8,22,desconocido
16267,Screwjumper!,Xbox360,MICROSOFT,3.4,9,desconocido
16286,Family Guy: Back to the Multiverse,PlayStation3,SONY,6.4,33,desconocido
16280,The Warriors: Street Brawl,Xbox360,MICROSOFT,6.4,8,desconocido
16282,Blood Drive,Xbox360,MICROSOFT,5.8,13,desconocido
16260,Evil Dead: Hail to the King,PC,PC,5.2,13,desconocido
16279,Inner Chains,PC,PC,4.9,16,desconocido
16281,Zatch Bell! Mamodo Fury,PlayStation2,SONY,7.6,11,desconocido
16272,Psychotoxic,PC,PC,4.8,13,desconocido
16274,Eureka Seven Vol. 2: The New Vision,PlayStation2,SONY,7.2,6,desconocido
16291,Real Steel,Xbox360,MICROSOFT,6.5,24,desconocido
16290,Looney Tunes: Acme Arsenal,Xbox360,MICROSOFT,7.1,14,desconocido
16275,Adventure Time: Explore the Dungeon Because I DON'T KNOW!,PlayStation3,SONY,4.0,20,desconocido
16255,Delta Force: Xtreme 2,PC,PC,4.9,51,desconocido
16289,MotionSports,Xbox360,MICROSOFT,4.0,10,desconocido
16261,Naval Assault: The Killing Tide,Xbox360,MICROSOFT,4.5,6,desconocido
16287,The Golden Compass,PlayStation3,SONY,4.8,16,desconocido
16256,Slain!,PC,PC,5.3,37,desconocido
16283,Prison Break: The Conspiracy,Xbox360,MICROSOFT,4.8,21,desconocido
16277,Farming Simulator,PlayStation3,SONY,2.9,9,desconocido
16273,ShellShock 2: Blood Trails,PC,PC,5.3,49,desconocido
16284,Dragon Ball Z: Taiketsu,GameBoyAdvance,NINTENDO,6.0,27,desconocido
16259,The Polar Express,GameCube,NINTENDO,4.7,9,desconocido
16292,Soldier Elite,PC,PC,3.6,10,desconocido
16269,Chronus Arc,3DS,NINTENDO,6.1,11,desconocido
16276,Painkiller: Hell & Damnation,PlayStation3,SONY,6.9,18,desconocido
16271,Emergency Mayhem,Wii,NINTENDO,4.3,4,desconocido
16262,The Chaos Engine (2013),PC,PC,7.6,26,desconocido
16265,Ace Banana,PlayStation4,SONY,4.3,20,desconocido
16278,Escape Dead Island,PlayStation3,SONY,3.1,52,desconocido
16264,Ducati World Racing Challenge,Dreamcast,SEGA,6.8,5,desconocido
16257,Alekhine's Gun,PC,PC,4.7,51,desconocido
